A,Verb,B,Count
gas sensing material formulation,locate,semiconductor substrate,1
gas sensing material formulation,cool,semiconductor substrate,1
semiconductor substrate,use,cooling baseplate,1
cooling baseplate,provide,insulating medium,1
cooling baseplate,use,insulating medium,1
insulating medium,locate,dielectric membrane,1
insulating medium,be,dielectric membrane,1
insulating medium,form,dielectric membrane,1
insulating medium,say,dielectric membrane,1
carbon atoms,X,tetravalent organic group,1
carbon atoms,represent,tetravalent organic group,1
alkyl group,have,carbon atoms,1
photosensitive resin composition,enable,cured film,1
plasma chamber,provide,RF signal,1
first electronically variable capacitor,have,first variable capacitance,1
second electronically variable capacitor,have,second variable capacitance,1
plasma chamber,base,first capacitance value,1
control,generate,control signal,1
control signal,alter,first variable capacitance,1
work piece support,provide,cover ring,1
reactant gas,be,silicon oxide film,1
reactant gas,introduce,silicon oxide film,1
reactant gas,form,silicon oxide film,1
silicon oxide film,provide,plasma,1
silicon oxide film,have,plasma,1
reactant gas,be,double silicon compound,1
reactant gas,introduce,double silicon compound,1
reactant gas,form,double silicon compound,1
amorphous silicon layer,control,laser assembly,1
laser assembly,control,laser beam,1
laser assembly,irradiate,amorphous silicon layer,1
fluorinated material,have,orthogonality,1
orthogonality,print,fluorinated material,1
fluorinated material,form,mask template,1
mask template,provide,fluorinated solvent,1
mask template,coat,fluorinated solvent,1
mask template,be,fluorinated solvent,1
mask template,pattern,fluorinated solvent,1
hard mask layer,be,first resist patterns,1
hard mask layer,perform,oped area,1
hard mask layer,form,oped area,1
first resist patterns,remove,hard mask layer,1
first resist patterns,coat,hard mask layer,1
first resist patterns,direct,hard mask layer,1
hard mask layer,perform,block copolymer patterns,1
hard mask layer,form,block copolymer patterns,1
hard mask layer,arrange,block copolymer patterns,1
block copolymer patterns,remove,hard mask layer,1
block copolymer patterns,form,hard mask layer,1
hard mask layer,form,target,1
hard mask layer,etch,target,1
isolation region,comprise,dielectric material,1
dielectric material,form,isolation region,1
isolation region,be,recess,1
isolation region,reduce,recess,1
recess,form,isolation region,1
recess,include,isolation region,1
isolation region,conform,recess,1
recess,wherein,isolation region,1
recess,stop,isolation region,1
recess,form,electrical contacts,1
electrical contacts,confine,recess,1
plasma etching method,include,first radio frequency power,1
plasma etching method,generate,first radio frequency power,1
plasma etching method,contain,first radio frequency power,1
plasma etching method,use,first radio frequency power,1
nitrogen containing gas,thereby,oxygen precipitate profile,1
nitrogen containing gas,imprint,oxygen precipitate profile,1
oxygen precipitate profile,degrade,GOI yield,1
silicon wafer,expose,silicon nitride film,1
silicon wafer,generate,silicon nitride film,1
GOI yield,strip,wafer oxidation,1
GOI yield,be,wafer oxidation,1
GOI yield,follow,wafer oxidation,1
substrate processing apparatus,include,substrate holding device,1
flow rate control mechanism,include,rotation mechanism,1
flow rate control mechanism,control,rotation mechanism,1
flow rate control mechanism,dry,drying liquid flow line,1
drying liquid flow line,have,preset upper limit distance,1
drying liquid flow line,equal,preset upper limit distance,1
wafer processing system,include,rotatable wafer support member,1
rotatable wafer support member,support,collections trays,1
chamber exhaust outlet,be,collection trays,1
chamber exhaust outlet,form,collection trays,1
chamber exhaust outlet,vent,collection trays,1
chemical exhaust outlet,be,collection chamber,1
chemical exhaust outlet,form,collection chamber,1
chemical exhaust outlet,vent,collection chamber,1
chemical exhaust outlet,flow,collection chamber,1
chemical exhaust outlet,be,chamber exhaust outlet,1
chemical exhaust outlet,isolate,chamber exhaust outlet,1
substrate processing method,form,processing container,1
substrate processing method,dispose,processing container,1
plasma enhanced vapor deposition,form,atomic layer deposition,1
second,be,processing container,1
second,perform,processing container,1
second,include,processing container,1
second,purge,processing container,1
substrate treating apparatus,include,spin head,1
substrate holding unit,configure,first processing liquid nozzle,1
substrate holding unit,hold,first processing liquid nozzle,1
first processing liquid nozzle,configure,second processing liquid nozzle,1
first processing liquid nozzle,supply,second processing liquid nozzle,1
second processing liquid nozzle,configure,first gas supply port,1
second processing liquid nozzle,supply,first gas supply port,1
second processing liquid nozzle,be,first gas supply port,1
first gas supply port,configure,second gas supply port,1
substrate cleaning apparatus,perform,scrub cleaning,1
scrub cleaning,rotate,roll cleaning member,1
roll holder,configure,roll cleaning member,1
roll holder,support,roll cleaning member,1
roll holder,rotate,roll cleaning member,1
vertical movement mechanism,have,actuator,1
vertical movement mechanism,actuate,actuator,1
actuator,have,regulating device,1
regulating device,configure,roll holder,1
regulating device,move,roll holder,1
roll holder,couple,roll cleaning member,1
load cell,provide,vertical movement mechanism,1
roll holder,be,roll load,1
roll holder,configure,roll load,1
roll holder,measure,roll load,1
regulating device,base,load cell,1
tape attaching machine,attach,adhesive tape,1
wafer,cut,adhesive,1
tape attaching machine,include,tape winding unit,1
tape winding unit,configure,adhesive tape,1
tape winding unit,wind,adhesive tape,1
tape winding unit,remain,adhesive tape,1
adhesive tape,cut,adhesive,1
adhesive,remain,adhesive tape,1
adhesive tape,be,frame,1
adhesive tape,attach,frame,1
tape winding unit,include,main shaft,1
igs,mount,main shaft,1
jigs,be,main shaft,1
main shaft,have,tape contact area,1
tape contact area,remain,adhesive tape,1
adhesive tape,adapt,tape contact area,1
adhesive tape,wind,tape contact area,1
adhesive tape,form,tape contact area,1
shape memory alloy,be,semiconductor devices,1
shape memory alloy,use,semiconductor devices,1
extended state,be,carrier substrate,1
extended state,attach,carrier substrate,1
Heat,be,target,1
Heat,apply,target,1
multiple discrete units,dispose,load lock chamber,1
multiple discrete units,correspond,load lock chamber,1
multiple discrete units,be,load lock chamber,1
multiple discrete units,attach,load lock chamber,1
load lock chamber,attach,multiple discrete gas boxes,1
multiple discrete gas boxes,control,multiple discrete electric boxes,1
multiple discrete gas boxes,correspond,multiple discrete electric boxes,1
multiple discrete gas boxes,be,multiple discrete electric boxes,1
multiple discrete gas boxes,connect,multiple discrete electric boxes,1
multiple discrete electric boxes,control,multiple discrete units,1
multiple discrete electric boxes,correspond,multiple discrete units,1
multiple discrete electric boxes,connect,multiple discrete units,1
multiple discrete electric boxes,wherein,multiple discrete units,1
multiple discrete electric boxes,arrange,multiple discrete units,1
multiple discrete electric boxes,view,multiple discrete units,1
adaptive alignment,include,analyzer,1
adaptive alignment,configure,analyzer,1
adaptive alignment,align,analyzer,1
analyzer,be,analysis,1
analyzer,configure,analysis,1
analyzer,recognize,analysis,1
analyzer,define,analysis,1
analysis,exist,fall back alignment strategy,1
analysis,be,fall back alignment strategy,1
analysis,invoke,fall back alignment strategy,1
substrate processing apparatus,include,transfer station,1
transfer station,be,substrate placement unit,1
transfer station,dispose,substrate placement unit,1
transfer station,include,substrate placement unit,1
substrate placement unit,convey,first conveyance device,1
processing station,be,second conveyance device,1
processing station,dispose,second conveyance device,1
processing station,include,second conveyance device,1
second conveyance device,take,substrate placement unit,1
second conveyance device,convey,substrate placement unit,1
processing units,process,second conveyance device,1
processing units,convey,second conveyance device,1
image capturing unit,be,transfer station,1
image capturing unit,dispose,transfer station,1
transfer station,capture,lower,1
substrate support,support,thermal elements,1
substrate support,include,thermal elements,1
thermal elements,be,thermal zones,1
thermal elements,arrange,thermal zones,1
thermal zones,include,thermal elements,1
thermal elements,include,first resistive material,1
first resistive material,have,positive thermal coefficient,1
second resistive material,have,negative thermal coefficient,1
ceramic layer,be,thermal elements,1
ceramic layer,arrange,thermal elements,1
hardmasks,be,dielectric liner,1
hardmasks,form,dielectric liner,1
deposition process,form,sidewall surfaces,1
sidewall surfaces,reach,UV curing process,1
sidewall surfaces,subject,UV curing process,1
sidewall surfaces,be,UV curing process,1
UV curing process,subject,UV cured flow,1
layer,be,deposition,1
layer,perform,deposition,1
plasma,cure,layer,1
optical devices,include,stacked optical element layers,1
stacked optical element layers,use,silicon wafers,1
optical elements,have,interlayers,1
interlayers,form,inter,1
processing method,include,cut groove forming step,1
cut groove forming step,carry,wafer dividing step,1
cut groove forming step,form,wafer dividing step,1
wafer dividing step,irradiate,laser beam,1
laser beam,divide,step,1
laser beam,form,step,1
step,be,die bonding layer,1
step,carry,die bonding layer,1
die bonding layer,dispose,liquid die bonding agent,1
die bonding layer,apply,liquid die bonding agent,1
Bessel beam matrix,include,Bessel beams,1
Bessel beams,arrange,dicing layout,1
Bessel beams,accord,dicing layout,1
Bessel beams,predetermine,dicing layout,1
dicing layout,control,focus position,1
Bessel beam matrix,control,focus positions,1
semiconductor device,include,epitaxial layer,1
semiconductor device,provide,epitaxial layer,1
semiconductor device,have,epitaxial layer,1
semiconductor device,remove,epitaxial layer,1
performance criteria,comprise,final assembly sequence,1
performance criteria,generate,final assembly sequence,1
etching method,retrieve,etching process,1
etching method,process,etching process,1
etching method,etch,etching process,1
semiconductor device,determine,end point time,1
end point time,consult,semiconductor device,1
end point time,record,semiconductor device,1
end point time,compensate,semiconductor device,1
end point time,adjust,semiconductor device,1
semiconductor substrate,have,air gap,1
air gap,interpose,semiconductor substrate,1
semiconductor device,include,capping layer,1
semiconductor device,form,capping layer,1
capping layer,comprise,first etch selectivity,1
metal pattern,remove,capping layer,1
capping layer,remain,metal pattern,1
metal pattern,remove,capping,1
semiconductor package,include,support board,1
semiconductor package,dispose,support board,1
support board,seal,sealant,1
sealant,form,sealed body,1
support board,form,sealed semiconductor chips,1
sealed semiconductor chips,form,rewiring layer,1
semic,be,support board,1
semic,dispose,support board,1
support board,be,individualizing step,1
support board,remove,individualizing step,1
support board,seal,individualizing step,1
support board,include,individualizing step,1
individualizing step,cut,support board,1
individualizing step,correspond,support board,1
support board,perform,individualization,1
sealed semiconductor chips,have,lower surface,1
side wall,incline,conductive shield layer,1
side wall,form,conductive shield layer,1
metallization layer,be,ultrasonic transducer,1
metallization layer,remove,ultrasonic transducer,1
metallization layer,create,ultrasonic transducer,1
dummy gate material,deposit,gate cut dielectric layer,1
dummy gate material,encase,gate cut dielectric layer,1
dummy gate material,remain,gate cut dielectric layer,1
gate cut isolation,isolate,gate conductor,1
First line patterns,extend,first line patterns,1
first line patterns,extend,boundary area,1
Second line patterns,extend,second line patterns,1
second line patterns,extend,overlapping areas,1
second,be,areas,1
second,overlap,areas,1
trimming process,be,second,1
trimming process,perform,second,1
trimming process,shade,second,1
gate structures,structure,conductive material,1
gate structures,protect,conductive material,1
etchant solution,have,quiescent state,1
semiconductor device,form,substrate,1
array substrate,include,first thin film transistors,1
array substrate,form,first thin film transistors,1
etch stopper layer,be,threshold,1
thin film transistors,form,gate driving circuit,1
high threshold voltage,be,driving signal,1
high threshold voltage,use,driving signal,1
display panel,cause,low threshold voltage,1
Metal contact openings,be,barrier layer,1
Metal contact openings,etch,barrier layer,1
gas combination,etch,barrier layer,1
barrier layer,lie,channel layer,1
channel layer,lie,barrier layer,1
vertical fin,deposit,sidewall liner,1
sidewall liner,form,support pillar,1
laterally et,ching,support pillar,1
support pillar,form,thinned support pillar,1
thinned support pillar,form,substrate,1
semiconductor device,be,SOI substrate,1
SOI substrate,comprise,semiconductor bulk substrate,1
semiconductor layer,form,shallow trench isolation,1
SOI substrate,form,FET,1
SOI substrate,form,F,1
F,be,shallow trench isolation,1
F,position,shallow trench isolation,1
F,form,shallow trench isolation,1
shallow trench isolation,include,SOI substrate,1
shallow trench isolation,form,SOI substrate,1
SOI substrate,fill,first dielectric layer,1
first dielectric layer,form,dielectric material layer,1
dummy gate structure,be,semiconductor fin,1
dummy gate structure,form,semiconductor fin,1
doped semiconductor layer,be,semiconductor fin,1
doped semiconductor layer,form,semiconductor fin,1
dielectric layer,be,doped semiconductor layer,1
dielectric layer,form,doped semiconductor layer,1
dummy gate structure,be,metal gate structure,1
dummy gate structure,replace,metal gate structure,1
radiator module,be,first infrared radiator,1
radiator module,provide,first infrared radiator,1
radiator module,include,first infrared radiator,1
first infrared radiator,include,second infrared radiator,1
first infrared radiator,arrange,second infrared radiator,1
cladding tube,be,reflective coating,1
cladding tube,provide,reflective coating,1
wafer polishing apparatus,be,rotating platen,1
wafer polishing apparatus,provide,rotating platen,1
vertical tension,be,lateral tension,1
grinding wheel,be,semiconductor wafer,1
grinding wheel,move,semiconductor wafer,1
grinding wheel,dice,semiconductor wafer,1
semiconductor wafer,separate,semiconductor devices,1
processing,include,robot arm,1
robot arm,have,end effector,1
robot arm,wherein,end effector,1
longitudinal axis,wherein,end effector,1
longitudinal axis,have,end effector,1
longitudinal axis,define,end effector,1
semiconductor substrate,use,chemical solution,1
chemical solution,dissolve,storage tank,1
chemical solution,discharge,storage tank,1
deletion complex,be,chemical solution,1
deletion complex,mix,chemical solution,1
counter cation,be,chemical solution,1
counter cation,put,chemical solution,1
polyacid,capture,chemical solution,1
polyacid,precipitate,chemical solution,1
polyacid,separate,chemical solution,1
semiconductor substrate,be,chemical solution,1
semiconductor substrate,remove,chemical solution,1
semiconductor substrate,enable,chemical solution,1
secondary weir,be,primary weir,1
secondary weir,position,primary weir,1
primary weir,remain,secondary weir,1
primary weir,overflow,secondary weir,1
primary weir,flow,secondary weir,1
particle counting device,include,scanner probe,1
carrier tape,include,imaging device,1
imaging device,image,insertion position,1
imaging device,provide,insertion position,1
carrier tape,contain,housing recesses,1
housing recesses,determine,imaging device,1
housing recesses,capture,imaging device,1
housing recesses,contain,insertion position,1
housing recesses,cause,insertion position,1
housing recesses,have,imaging device,1
housing recesses,be,imaging device,1
housing recesses,image,imaging device,1
imaging device,be,positional deviations,1
imaging device,correct,positional deviations,1
imaging device,mitigate,positional deviations,1
flat display panel,be,camera index light source,1
flat display panel,prevent,camera index light source,1
flat display panel,be,ambient light sensor hole,1
flat display panel,configure,ambient light sensor hole,1
flat display panel,partition,ambient light sensor hole,1
second passivation film,be,planarization film,1
planarization film,be,ambient,1
mask blank,be,light blocking film,1
mask blank,provide,light blocking film,1
light blocking film,have,optical density,1
optical density,have,multilayer structures,1
optical density,comprise,multilayer structures,1
multilayer structures,be,high nitride layer,1
multilayer structures,compose,high nitride layer,1
ride layer,form,silicon,1
ride layer,compose,silicon,1
nitrogen,contain,semimetal elements,1
nitrogen,select,semimetal elements,1
low nitride layer,have,nitrogen,1
isocyanurate unit,have,composition,1
isocyanurate unit,apply,composition,1
composition,etch,photoresist pattern,1
semiconductor defect classification,include,feature extractors,1
feature extractors,be,semiconductor patterns,1
feature extractors,configure,semiconductor patterns,1
feature extractors,receive,semiconductor patterns,1
wafer,extract,first meta information,1
wafer,be,first meta information,1
wafer,configure,first meta information,1
wafer,receive,first meta information,1
afer,use,machine learning,1
machine learning,classify,semiconductor patterns,1
semiconductor patterns,associate,first meta information,1
semiconductor patterns,base,first meta information,1
impedance matching,include,matching network,1
impedance matching,position,matching network,1
match configuration,use,expected pulse level change,1
expected pulse level change,c,control signal,1
expected pulse level change,send,control signal,1
control signal,alter,match configuration,1
control signal,provide,match configuration,1
control signal,be,predetermined time period,1
control signal,send,predetermined time period,1
predetermined time period,be,match configurations,1
predetermined time period,switch,match configurations,1
workpiece processing system,have,chamber volume,1
workpiece processing system,define,chamber volume,1
workpiece processing system,enclose,chamber volume,1
condensation temperature,be,gaseous state,1
chamber wall temperature,be,condensation temperature,1
outgassed materials,prevent,condensation,1
photoresist pattern,be,semiconductor substrate,1
photoresist pattern,form,semiconductor substrate,1
protective film,form,photoresist pattern,1
protective film,cover,photoresist pattern,1
photoresist pattern,cover,protective film,1
impurity,be,semiconductor substrate,1
impurity,implant,semiconductor substrate,1
protective film,remove,photoresist pattern,1
processing,expose,patterned substrate,1
parylene monomer gas,form,patterned substrate,1
patterned substrate,wherein,patterned parylene layer,1
patterned substrate,comprise,patterned parylene layer,1
parylene layer,comprise,patterned substrate,1
parylene layer,be,patterned substrate,1
parylene layer,dispose,patterned substrate,1
patterned substrate,comprise,dielectric layer,1
metal features,be,dielectric surfaces,1
metal features,form,dielectric surfaces,1
embodiment,include,antireflection film AL,1
embodiment,be,antireflection film AL,1
embodiment,etch,antireflection film AL,1
mask MK1,accord,embodiment,1
antireflection film,use,mask MK1,1
plasma,process,protective film,1
mask MK1,etch,antireflection film AL,1
antireflection film AL,remove,ant,1
lection,use,mask MK1,1
sacrificial layer,form,photoresist mask,1
photoresist mask,form,undercut region,1
photoresist mask,wherein,undercut region,1
overhang structure,etch,photoresist mask,1
overhang structure,expose,photoresist mask,1
photoresist mask,form,sacr,1
Metallic material,be,photoresist mask,1
Metallic material,deposit,photoresist mask,1
Metallic material,cover,photoresist mask,1
photoresist mask,fill,overhang structure,1
photoresist mask,form,overhang structure,1
photoresist mask,coat,overhang structure,1
sacrificial layer,be,metallic material,1
sacrificial layer,dissolve,metallic material,1
sacrificial layer,lift-off,metallic material,1
metallic material,cover,photoresist mask,1
semiconductor devices,include,gate structure,1
hard mask structure,be,gate structure,1
hard mask structure,dispose,gate structure,1
gate structure,include,layer,1
hard mask layer,surround,bottom,1
hard mask layer,have,bottom,1
mask material layer,perform,first doping treatment,1
doping treatment,be,mask,1
doping treatment,perform,mask,1
mask,include,doping treatment,1
mask,be,doping treatment,1
mask,have,doping treatment,1
patterned material,form,dopant species,1
patterned material,comprise,dopant species,1
patterned material,remove,dopant species,1
patterned material,be,dopant species,1
predetermined pretreatment period,use,plasma gas mixture,1
plasma gas mixture,include,hydrogen gas species,1
anne,aling,annealing period,1
substrate holding unit,hold,first holding member,1
substrate holding unit,be,first holding member,1
substrate holding unit,align,first holding member,1
substrate holding unit,layer,first holding member,1
substrate holding unit,comprise,first holding member,1
first holding member,hold,first holding,1
first holding member,join,first holding,1
first holding member,connect,first holding,1
second holding member,hold,adhesion force,1
second holding member,face,adhesion force,1
second holding member,join,adhesion force,1
second holding member,exert,adhesion force,1
adhesion force,join,second holding member,1
adhesion force,connect,second holding member,1
second holding member,correspond,adhesion restricting section,1
second holding member,be,adhesion restricting section,1
second holding member,join,adhesion restricting section,1
adhesion restricting section,restrict,adhesion force,1
laterally,etch,semiconductor substrates,1
semiconductor substrates,use,atomic layer etch process,1
atomic layer etch process,involve,oxidized surface,1
atomic layer etch process,expose,oxidized surface,1
semiconductor substrate,heat,sublimation mechanism,1
semiconductor substrate,remove,sublimation mechanism,1
plasma etching,include,recess,1
recess,form,silicon oxide film,1
recess,have,silicon oxide film,1
reaction product,adhere,plasma,1
plasma,generate,fluorocarbon gas,1
penetrating process,form,silicon oxide film,1
penetrating process,penetrate,silicon oxide film,1
silicon oxide film,etch,reaction product,1
reaction product,be,plasma,1
reaction product,remove,plasma,1
plasma processing method,comprise,conveying carrier,1
plasma processing method,prepare,conveying carrier,1
conveying carrier,include,holding sheet,1
holding sheet,hold,conve,1
conve,ying,carrier,1
carrier,sag,holding sheet,1
holding sheet,set,conveying carrier,1
conveying carrier,provide,plasma,1
plasma,contact,holding sheet,1
Wafer processing,be,product substrates,1
Wafer processing,wherein,product substrates,1
Wafer processing,include,product substrates,1
Wafer processing,hold,product substrates,1
semiconductor devices,use,poly,1
semiconductor devices,have,poly,1
carrier substrate,mount,semiconductor devices,1
semiconductor devices,be,light emitting diodes,1
carrier substrate,pick,semiconductor devices,1
liquid processing apparatus,include,processing unit,1
external housing,include,partition wall,1
selecting step,include,geometric primitives,1
selecting step,modify,geometric primitives,1
metrical complexity,score,geometric primitives,1
metrical complexity,associate,geometric primitives,1
micro device transferring method,include,carrier substrate,1
micro device transferring method,provide,carrier substrate,1
carrier substrate,include,transparent base,1
micro devices,arrange,transparent base,1
micro devices,irradiate,transparent base,1
transparent base,reduce,micro devices,1
transparent base,activate,micro devices,1
micro devices,align,receiving substrate,1
micro devices,pick,receiving substrate,1
mounting table,include,electrostatic chuck,1
second top surface,be,first top surface,1
second top surface,provide,first top surface,1
coolant path,have,peripheral paths,1
switching system,alter,duty cycle,1
deposition rate,control,frequency,1
ceramic dielectric substrate,include,sealing ring,1
sealing ring,provide,ceramic dielectric substrate,1
semiconductor device,form,crystalline semiconductor substrate,1
porous structure,be,semiconductor substrate,1
porous structure,form,semiconductor substrate,1
porous structure,include,porous layer,1
non-porous device layer,be,porous columns,1
non-porous device layer,form,porous columns,1
word line,form,word line feature,1
word line,wherein,word line feature,1
word line feature,be,3D NAND device,1
anne,aling,cobalt layer,1
anne,remove,cobalt layer,1
semiconductor device,provide,first stacked fin structure,1
first stacked fin structure,include,first channel,1
second stacked fin structure,include,second,1
fin,etch,dielectric material,1
fin,pull,dielectric material,1
fin,form,dielectric material,1
fin,fill,dielectric material,1
fin,bury,dielectric material,1
semiconductor device,form,semiconductor layer,1
semiconductor layer,include,semiconductor material,1
semiconductor material,pattern,semiconductor layer,1
semiconductor layer,form,preliminary active pattern,1
preliminary active pattern,oxidize,active pattern,1
active pattern,form,oxide layer,1
semiconductor pattern,form,active pattern,1
Selective transfer,include,semiconductor devices,1
semiconductor devices,be,local laser irradiation,1
semiconductor devices,perform,local laser irradiation,1
semiconductor devices,employ,local laser irradiation,1
solder material portions,be,bond structures,1
solder material portions,employ,bond structures,1
solder material portions,provide,bond structures,1
solder material portions,facilitate,bond structures,1
solder material portions,adjoin,bond structures,1
solder material portions,be,mated bonding structures,1
solder material portions,employ,mated bonding structures,1
solder material portions,select,mated bonding structures,1
electrostatic discharge protection,be,base substrate,1
electrostatic discharge protection,provide,base substrate,1
electrostatic discharge protection,include,base substrate,1
d,oped,layer,1
first,pattern,interlayer dielectric layer,1
first openings,separate,drain region,1
first openings,pattern,drain region,1
second mask layer,be,etching,1
second mask layer,pattern,etching,1
second patterned layers,form,etching,1
second patterned layers,pattern,etching,1
contact vias,expose,etching,1
etching,use,second mask layer,1
etching,pattern,second mask layer,1
etch mask,form,metal silicide layer,1
polysilicon layer,have,low crystallinity,1
low crystallinity,be,active fin,1
low crystallinity,form,active fin,1
active fin,trap,body,1
active fin,accumulate,body,1
body,improve,retention time,1
FinFET structure,increase,operating efficiency,1
operating efficiency,raise,channel control force,1
channel control force,implement,batch process,1
CPU,have,FinFET structure,1
semiconductor device,include,multiple fins,1
conductive patterns,be,interlayer insulating layers,1
conductive patterns,separate,interlayer insulating layers,1
conductive patterns,pass,interlayer insulating layers,1
interlayer insulating layers,wherein,conductive patterns,1
conductive patterns,include,gas phase,1
conductive patterns,generate,gas phase,1
gas phase,react,conductive patterns,1
gas phase,remain,conductive patterns,1
thin film transistor,fabricate,display device,1
display device,avoid,thin film transistor,1
display device,oxidize,thin film transistor,1
thin film transistor,include,active layer pattern,1
thin film transistor,form,active layer pattern,1
active layer pattern,use,patterning process,1
layer,use,patterning process,1
active layer pattern,correspond,channel area,1
channel area,be,pattern,1
channel area,expose,pattern,1
channel area,form,pattern,1
BCE TFT substrate,include,base substrate,1
gate insulation layer,be,base substrate,1
gate insulation layer,form,base substrate,1
IGZO semiconductor layer,be,gate insulation layer,1
IGZO semiconductor layer,form,gate insulation layer,1
gate insulation layer,serve,active layer,1
conductorized IGZO film,be,active layer,1
conductorized IGZO film,stack,active layer,1
passivation layer,be,active layer,1
passivation layer,dispose,active layer,1
lateral surfaces,connect,support pattern,1
lateral surfaces,wherein,support pattern,1
support pattern,include,lateral surfaces,1
support pattern,expose,lateral surfaces,1
lateral surfaces,include,support pattern,1
support pattern,have,concave slope,1
channel region,comprise,silicon germanium oxide layer,1
channel region,be,drain structures,1
second device structure,be,second device regions,1
second device structure,form,second device regions,1
layer,include,second,1
layer,define,second,1
first stacked structures,include,first sacrificial layer,1
semiconductor layer,form,first dummy gate structure,1
first dummy gate structure,cover,sidewall surfaces,1
sidewall surface,form,dielectric structure,1
sidewall surface,dope,dielectric structure,1
dielectric structure,expose,top surfaces,1
first sidewall spacer,form,first sacrificial layer,1
first sacrificial layer,expose,first barrier layer,1
first sacrificial layer,dope,first barrier layer,1
first barrier layer,dope,first gate structure,1
first barrier layer,form,first gate structure,1
semiconductor component,include,metal gate,1
metal gate,protrude,reducing gas,1
metal gate,react,reducing gas,1
gallium nitride transistor,base,high electron mobility,1
structured metal layer,have,first gate region,1
structured metal layer,be,first gate region,1
structured metal layer,form,first gate region,1
first gate region,form,photoresist layer,1
first gate region,structure,photoresist layer,1
intermediate layer,have,insulation layer,1
intermediate layer,be,insulation layer,1
intermediate layer,deposit,insulation layer,1
insulation layer,have,photoresist layer,1
insulation layer,be,photoresist layer,1
insulation layer,deposit,photoresist layer,1
photoresist layer,be,second gate region,1
photoresist layer,structure,second gate region,1
photoresist layer,expose,second gate region,1
second gate region,wherein,buried field plates,1
second gate region,be,buried field plates,1
second gate region,form,buried field plates,1
semiconductor substrate,form,stacked channel layer,1
stacked channel layer,have,dummy gate structure,1
stacked channel layer,form,dummy gate structure,1
dummy gate structure,form,sidewall surfaces,1
sidewall surfaces,form,protective layer,1
gate insulation layer,comprise,conductive gate,1
conductive gate,wherein,axial length,1
conductive gate,have,axial length,1
axial length,correspond,gate,1
sidewall spacer,contact,lateral sidewalls,1
sidewall spacer,oppose,lateral sidewalls,1
pillar structure,comprise,pillar material,1
pillar material,position,final gate structure,1
pillar structure,wherein,pillar material,1
pillar structure,be,pillar material,1
pillar structure,position,pillar material,1
vertical fins,react,reactant,1
reactant,form,condensation layer,1
emitter region,arrange,semiconductor substrate,1
base region,arrange,semiconductor substrate,1
base region,be,conductive base layer,1
base region,arrange,conductive base layer,1
base region,include,planar bottom surface,1
planar bottom surface,increase,contact area,1
base region,include,contact area,1
base region,increase,contact area,1
semiconductor device,include,doped semiconductor layer,1
semiconductor device,form,doped semiconductor layer,1
doped semiconductor layer,form,fin structure,1
fin structure,dispose,d,1
d,oped,onductor layer,1
fin structure,form,fin sidewall,1
ruthenium removal composition,dissolve,magnetoresistive random access memory,1
ruthenium removal composition,suppress,magnetoresistive random access memory,1
ruthenium removal composition,produce,magnetoresistive random access memory,1
ultrapure water,inhibit,metal contamination,1
polymer,have,polystyrene sulfonate,1
polystyrene sulfonate,have,molecular weight,1
ultrapure water,be,polymer,1
ultrapure water,adsorb,polymer,1
ultrapure water,have,separation membrane module,1
ultrapure water,be,separation membrane module,1
ultrapure water,add,separation membrane module,1
ultrapure water,flow,separation membrane module,1
separation membrane module,be,permeated water,1
separation membrane module,clean,permeated water,1
cassette table,move,chuck table,1
cassette table,process,chuck table,1
laser beam applying unit,have,focusing unit,1
focusing unit,apply,chuck table,1
transferable component,include,elastomeric post,1
elastomeric post,have,donor substrate,1
elastomeric post,protrude,donor substrate,1
elastomeric post,be,donor substrate,1
elastomeric post,press,donor substrate,1
conveyance system,convey,plural processing apparatuses,1
conveyance system,include,conveyance passage,1
automated workpiece conveying vehicle,travel,conveyance passage,1
conveyance passage,be,plural processing apparatuses,1
conveyance passage,set,plural processing apparatuses,1
stock unit,include,workpiece stocker,1
workpiece stocker,supply,automated workpiece conve,1
automated workpiece conve,ying,vehicle,1
repeat unit,do,hydroxyl groups,1
repeat unit,have,hydroxyl groups,1
hydroxyl groups,have,hydroxyl group content,1
wafer loading apparatus,make,temperature distribution,1
wafer loading apparatus,include,loading surface,1
wafer loading apparatus,be,loading surface,1
wafer loading apparatus,instal,loading surface,1
wafer loading apparatus,heat,loading surface,1
top plate,provide,loading surface,1
particle monitoring,have,micro sensors,1
particle monitoring,include,micro sensors,1
particle monitoring,include,clock,1
micro sensor,receive,wafer processing tool,1
semiconductor wafer,include,optical waveguide,1
Stealth dicing laser processing,be,semiconductor wafer,1
Stealth dicing laser processing,apply,semiconductor wafer,1
semiconductor wafer,produce,defect regions,1
cutting line,be,optical waveguide,1
cutting line,produce,end surface,1
end surface,be,optical waveguide,1
photosensitive resin composition,ensure,Cu,1
photosensitive resin composition,generate,Cu,1
Cu,be,photosensitive resin composition,1
Cu,obtain,photosensitive resin composition,1
Cu,use,photosensitive resin composition,1
semiconductor device,generate,Cu,1
atom,represent,hydrogen atom,1
touch panel,form,insulating film,1
insulating film,make,negative resist,1
negative resist,form,contact hole,1
insulating film,etch,contact hole,1
insulating film,connect,contact hole,1
contact hole,intersect,protective film,1
contact hole,form,protective film,1
matching network,comprise,discrete capacitors,1
discrete capacitors,configure,match configurations,1
